date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:34	7922/7922	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Feb%202022%2010:55:24%20GMT	https://fdclass.com.br/wp-content/plugins/wp-smushit/app/assets/js/smush-lazy-load.min.js?ver=3.9.5	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/plugins/wp-smushit/app/assets/js/smush-lazy-load.minc063.js	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:34	4702/4702	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2007%20Nov%202021%2002:03:20%20GMT	https://fdclass.com.br/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.4.2	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.minccfb.js	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:34	4960/4960	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2014:12:52%20GMT	https://fdclass.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.6.2	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/plugins/elementor/assets/js/webpack.runtime.min822f.js	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:35	14277/14277	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2014:12:52%20GMT	https://fdclass.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.6.2	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/plugins/elementor/assets/js/frontend-modules.min822f.js	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:35	348357/348357	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Nov%202021%2002:03:28%20GMT	https://fdclass.com.br/wp-content/uploads/2021/10/Fred-Facanha-1-1.png	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2021/10/Fred-Facanha-1-1.png	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:35	19900/19900	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2007%20Nov%202021%2002:03:20%20GMT	https://fdclass.com.br/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.4.2	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/plugins/elementor-pro/assets/js/frontend.minccfb.js	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:35	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2014:12:52%20GMT	https://fdclass.com.br/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:35	20714/20714	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Feb%202022%2003:55:51%20GMT	https://fdclass.com.br/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-includes/js/jquery/ui/core.min0028.js	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:36	37741/37741	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2014:12:52%20GMT	https://fdclass.com.br/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.6.2	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/plugins/elementor/assets/js/frontend.min822f.js	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:37	23779/23779	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2007%20Nov%202021%2002:03:20%20GMT	https://fdclass.com.br/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.4.2	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/plugins/elementor-pro/assets/js/elements-handlers.minccfb.js	(from https://fdclass.com.br/kitwin10-ebook/)
23:00:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Apr%202022%2002:00:41%20GMT	https://fdclass.com.br/kitwin10-ebook/c	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/kitwin10-ebook/c	(from https://connect.facebook.net/en_US/fbevents.js)
23:00:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Apr%202022%2002:00:41%20GMT	https://fdclass.com.br/kitwin10-ebook/b	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/kitwin10-ebook/b	(from https://connect.facebook.net/en_US/fbevents.js)
23:00:40	22709/22709	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Apr%202022%2002:00:42%20GMT	https://fdclass.com.br/kitwin10-ebook/POST	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/kitwin10-ebook/POST	(from https://connect.facebook.net/en_US/fbevents.js)
23:00:42	304416/304416	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Nov%202021%2002:03:30%20GMT	https://fdclass.com.br/wp-content/uploads/2021/10/whatsapp-background-png-5-4.png	C:/Meus%20Sites/PV%20Kit%20Win10%20Ebook/fdclass.com.br/wp-content/uploads/2021/10/whatsapp-background-png-5-4.png	(from https://fdclass.com.br/wp-content/uploads/elementor/css/post-2377.css?ver=1651111133)
